id,date,user_id,user_username,user_displayname,replyCount,retweetCount,likeCount,quoteCount,viewCount,searched_keyword,cleaned_text,Sentiment,hashtag_text
1.85E+18,2024-10-25 22:29:17+00:00,1.57E+18,TiffMoodNukes,Its  Tiff,2238,5930,35469,255,340611,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,Just VOTED EARLY AND IN PERSON FOR TRUMP for the third time with gratitude and pride. I prayed and got a little choked up over the sacrifices this great man has made and is making to save our country in peril. Im voting based on Trumps exemplary policies and past proven results,Positive,
1.84E+18,2024-10-07 16:10:14+00:00,1.35E+18,5dme81,5DME81,36,395,806,3,15586,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,A VOTE FOR TRUMP IS A VOTE FOR SAVING OUR COUNTRY KAMALA IS A DISASTER,Negative,
1.85E+18,2024-11-03 21:42:01+00:00,1.23E+18,kellytx2,Kelly,35,292,644,5,16546,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,"If you havent voted, get out and VOTE! Vote for America and freedom! Vote for secure borders! Vote for your children and grandchildren, to safeguard their freedoms! Vote for law and order and the right to defend yourself! Vote for the candidate who will FIGHT for US!",Positive,
1.85E+18,2024-10-30 05:13:50+00:00,1.49E+18,NowPammsy,PammsyNow,12,168,311,4,6725,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,Yesss! Lets go. Vote even more so its an overwhelming landslide victory! Dont stay home! Get out the vote for Trump! Vote Red down ballot!,Positive,
1.85E+18,2024-10-23 12:30:22+00:00,1.35E+18,5dme81,5DME81,21,384,473,7,12541,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,VOTE ON THE RIGHT SIDE OF AMERICA WE ARE GOING TO SAVE AMERICA GET UP AND VOTE! IM NOT VOTING FOR KAMALA BULLSHT IM VOTING FOR DONALD TRUMP 2024 LETS GO. Go Vote,Positive,"Trump2024NowMorethanEver, Vote"
1.83E+18,2024-09-12 15:33:57+00:00,1.35E+18,5dme81,5DME81,16,289,322,5,10052,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,VOTE FOR WHO WILL MAKE AMERICA BETTERWE HAD BOTH TRUMP IN OFFICE AND WE HAD KAMALA IN OFFICEMY LIFE WAS BETTER WHEN TRUMP WAS IN OFFICE,Negative,"KamalaHarrisIsAFailure, democratsTaxTaxTax, KamalaIsDangerousWithOpenBorders, KamalaBreadIsMoreExpensive, KamalaGasCostMore"
1.85E+18,2024-10-27 18:12:50+00:00,1.38E+18,AmandaD2nd,Amanda,26,41,484,2,28298,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,Good afternoon everyone and happy Sunday I voted yesterday for real Donald Trump so I decided to celebrate our win today. Hope yall have voted and remember this is the most important election in the history of our country .,Positive,TRUMPISCOMINGBACK
1.85E+18,2024-10-25 02:42:51+00:00,1.35E+18,5dme81,5DME81,13,409,591,6,15409,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,Vivek Ramaswamy Seal The Border Vote TrumpRESTORE LAW AND ORDER VOTE TRUMPGROW THE ECONOMY VOTE TRUMOREVIVE NATIONAL PRIDE VOTE TRUMPREVIVE OUR IDENTITY VOTE TRUMPMAGA VOTE TRUMP,Positive,
1.85E+18,2024-10-30 00:33:30+00:00,1.35E+18,5dme81,5DME81,18,292,472,7,10601,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,KABOOMLIBERAL AND 1ST TIME VOTER VOTING TRUMP. DEMOCRATS WORRIED MORE ABOUT FOREIGN POLICIES FOR OTHER COUNTRIES AND NOT DOING ENOUGH FOR THE PEOPLE HERE AT HOME. VOTE TRUMP NOW TRUMP FOR AMERICA,Positive,
1.85E+18,2024-11-05 06:53:00+00:00,7.30E+17,TeamTrump,Team Trump Text TRUMP to 88022,24,128,782,5,86232,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,"WE CANT AFFORD FOUR MORE YEARS OF KAMALA! This Election is in YOUR HANDS. Find your voting location, make a plan, and VOTE TRUMP!",Negative,
1.85E+18,2024-11-06 07:25:50+00:00,1.78E+18,ivankatrumpo,Ivanka Trump  Parody,11260,8037,92273,506,2789562,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,"BREAKING My Father Donald Trump has won the 2024 Election. If you are voted for this Great Father for making The Next 4 Years Great Again, GIVE ME A THUMBSUP!! Show Your loyalty for US !!",Positive,
1.85E+18,2024-11-06 07:39:05+00:00,1.79E+18,BarronTrumpoo,Barron Trump  Parody,12448,5862,64492,434,1284540,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,"BREAKING My DAD Donald J. Trump has won the 2024 Election. Thank you every Voter for making us come back again in THE WHITE HOUSE If you are voted for this Great Man for making The Next 4 Years Great Again, GIVE ME A THUMBSUP!! Show Your loyalty for US !!",Positive,
1.85E+18,2024-11-06 06:42:50+00:00,346628612,PeggyDodson,Peggy Dodson,527,3541,23747,60,162856,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,PRESIDENT DONALD J TRUMP IS THE WINNER!! WE HAVE THE SENATE AND THE HOUSE!!,Positive,
1.85E+18,2024-11-06 06:50:55+00:00,8.56E+17,_LoveLike_JESUS,Love Like JESUS,6,47,233,3,6931,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,. TRUMP WINS GOD BLESS AMERICA .,Positive,
1.85E+18,2024-11-06 06:20:33+00:00,1.27E+18,JarrodRodrigue1,Jarrod Rodriguez,14,36,315,0,11273,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,TRUMP OFFICIALLY WINS LETS. FUCKING. GO.,Positive,
1.85E+18,2024-11-06 06:50:16+00:00,1.53E+18,misspaulalondon,Paula London,67,167,916,4,10067,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,Breaking Donald Trump is the new President of the United States! YOU CANT KEEP A GOOD MAN DOWN! He fought for us all and won! Donald Trump will save the West! The UK will now celebrate with America! What a day for geopolitics? Many lefties tears will be shed,Positive,
1.85E+18,2024-11-06 07:00:49+00:00,1.78E+18,CubanOnlyTrump,Ape,28,727,4650,14,166454,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,ITS OVER HE WON 47th President TRUMP 2024,Positive,DonaldTrump
1.85E+18,2024-11-06 07:14:35+00:00,1.79E+18,trumprealparody,Donald J Trump  Parody,3402,1725,13707,139,243964,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,"BREAKING Donald Trump has won the 2024 Election. If you are voted for me for making The Next 4 Years Great Again, GIVE ME A THUMBSUP!! Show Your loyalty for ME !!",Positive,
1.85E+18,2024-10-25 02:51:27+00:00,1.66E+18,MAGAVoice,MAGA Voice,86,443,2225,12,27105,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,"BREAKING NOW SHE BROKE IT AND I PROMISE YOU, I WILL FIX IT Donald Trump just won the Election",Negative,
1.85E+18,2024-11-05 14:03:33+00:00,1.30E+18,bitcoinlfgo,BITCOINLFG,164,906,6591,14,141953,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,BIG BREAKING DONALD TRUMP TO WIN IN A LAND SLIDE VICTORY,Positive,
1.86E+18,2024-11-09 11:31:42+00:00,1.79E+18,BarronTrumpoo,Barron Trump  Parody,3418,1128,13432,117,181210,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,"BREAKING My DAD Donald Trump has won the 2024 Election. If you are voted for this Great Man for making The Next 4 Years Great Again, GIVE ME A THUMBSUP!! Show Your loyalty for US !!",Positive,
1.81E+18,2024-07-14 01:40:29+00:00,2927513940,Vinod_r108,Rai ji,293,157,3216,42,799484,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,Morbidful Donald Trump will now win in a landslide victory. . This incident just determined the outcome of the 2024 election.,Positive,DonaldTrump
1.81E+18,2024-07-14 01:32:33+00:00,2927513940,Vinod_r108,Rai ji,88,193,2016,20,344551,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,domlucre Donald Trump will now win in a landslide victory. . This incident just determined the outcome of the 2024 election.,Positive,DonaldTrump
1.85E+18,2024-11-05 02:10:32+00:00,1.63E+18,MJTruthUltra,MJTruthUltra,16,32,238,6,13787,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,BREAKING! DONALD TRUMP HAS WON THE 2024 ELECTION,Neutral,
1.81E+18,2024-07-13 23:10:29+00:00,2927513940,Vinod_r108,Rai ji,110,80,1083,36,280167,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,PicturesFoIder Donald Trump will now win in a landslide victory. . This incident just determined the outcome of the 2024 election.,Positive,DonaldTrump
1.85E+18,2024-11-06 06:32:30+00:00,1.51E+18,PolitlcsGlobal,Politics Global,104,723,8785,526,875618,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,BREAKING Donald Trump has won the presidential election,Neutral,
1.85E+18,2024-11-06 06:26:05+00:00,1.84E+18,america,America,5566,65531,513093,7113,21078286,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,BREAKING Donald Trump has won the 2024 Election,Neutral,
1.86E+18,2024-11-09 13:25:21+00:00,1.78E+18,ivankatrumpo,Ivanka Trump  Parody,928,450,4415,48,66072,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,"BREAKING My Father Donald Trump has won the 2024 Election. If you are voted for President Trump for making The Next 4 Years Great Again, GIVE ME A THUMBSUP!! WHO CONGRATS US !!",Positive,
1.85E+18,2024-11-06 06:26:47+00:00,1.30E+18,bitcoinlfgo,BITCOINLFG,60,369,2544,5,58703,DonaldJTrump  President2024 BREAKING POTUS DonaldTrump DonaldTrump2024 winner Election2024 electionday2024 until 2025-3-31 since 2024-07-01,BIG BREAKING DONALD TRUMP WON THE ELECTION AND IS NOW THE PRESIDENT OF UNITED STATES,Neutral,
1.84E+18,2024-09-18 23:48:58+00:00,1.31E+18,WATCHMESHEEP,BAA BAA zZzZ,188,668,2681,46,115653,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,WE'RE GOING TO WIN NEW YORK KAMALA IS GOING DOWN SHE AIN'T INNOCENT. SHAME ON THE 14 REPUBLICANS THAT SIDED WITH THE ILLEGALS ON VOTING IN OUR ELECTIONS ONLY AMERICANS WILL BE VOTING FOR DONALD TRUMP. DAMN RIGHT,Negative,TRUMPRALLY
1.85E+18,2024-11-06 07:23:50+00:00,295083939,me_ganesh14,Ganesh,1,47,224,2,31288,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,Donald Trump right now after Fox News called in his favour. He will be the 47th POTUS. has won United States of America.,Positive,"USAElection2024, DonaldTrump, KamalaHarris, USAElections, Trump2024, Trump2024Vance"
1.84E+18,2024-10-08 16:24:16+00:00,1.36E+18,kimmagagal2,Kimmie,50,239,544,12,19848,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,Kamaalaaa just owned the last 4 years. She wouldn't have changed anything! You are done! Vote Trump2024!,Negative,
1.83E+18,2024-09-13 02:26:14+00:00,1.25E+18,BelannF,BelannF,36,468,819,14,17119,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,THIS IS ALL YOU NEED TO KNOW BEFORE YOU VOTE... President Trump will restore law and order He will protect our police We know he will secure the border There will be a HUGH deportation effort AND Trump will chose an AG who will prosecute criminals to the fullest extent,Positive,
1.84E+18,2024-10-11 16:49:18+00:00,30540789,montaga,Antoine Tucker,102,884,2458,58,73678,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,Lets imagine .kamalaharris economy cant make this up and all the ppl saying vote for her are either bought puppets and mindless puppets .realDonaldTrump has a plan Drill MAGA,Negative,
1.85E+18,2024-11-04 18:13:12+00:00,3003886063,Sky_Lee_1,Skyleigh Uhrich,22,233,715,5,20377,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,Make no mistake WE WILL WIN! VP KamalaHarris will be our next President for all Americans!,Positive,VoteBlueChooseJoy
1.85E+18,2024-11-04 21:22:26+00:00,1.80E+18,KamalaforPA,Kamala for PA,33,353,777,6,30480,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,Philly is ready to fight and Philly is ready to win. Donald Trump is a danger to our communities who only cares about himself. We will make our voices heard tomorrow when we show up at the polls and elect KamalaHarris as our next President.,Negative,
1.82E+18,2024-08-05 21:30:06+00:00,1.43E+18,Sassafrass_84,Sassafrass84,47,290,772,24,52689,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,"This video is bad ass. Seriously. If you don't want 4 more years of the Biden agenda through kamala, you need to vote for Trump. Trump was right about everything. I'll take Trump cash over a",Negative,KamalaCrash
1.85E+18,2024-11-03 15:09:12+00:00,7.40E+17,BasedSavannah,Savannah,5,51,352,1,4843,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,VoteTrump2024 to save the U.S. from Democrat destruction. Our country cant survive 4 more years of their insanity. Its the economy and the border. We need Trump to fix it.,Negative,Trump2024
1.85E+18,2024-11-01 21:03:05+00:00,1.60E+18,Loveof1776,Victoria,15,160,220,2,9585,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,"Kmlas counting on her instinct to win the election. She knows nothing about polling. Theres no need for her to worry, because the polls say shes losing and Trump will make America great again!",Negative,
1.85E+18,2024-11-05 12:15:41+00:00,295083939,me_ganesh14,Ganesh,8,26,228,0,22087,KamalaHarris USAElections Trump2024 Trump2024Vance until 2025-3-31 since 2024-07-01,"As an Indian who wins the USElection2024 is not much important for me but still, I feel DonaldTrump will be a better for the world than because his last term he ensured peace in Middle East also regime change operation will slowdown",Neutral,"USElection2024, DonaldTrump, KamalaHarris, Trump2024, Kamala4President"
1.85E+18,2024-11-05 15:05:15+00:00,184059379,jakharpardeep,pardeep jakhar,30,154,426,6,32815,USA2024 USAElection2024 Election2024 until 2025-3-31 since 2024-07-01,United State Elections. Who is the Next president Retweet for Trump Like for Trump,Neutral,"ElectionDay, Vote2024, USElection2024"
1.85E+18,2024-11-05 10:00:48+00:00,1.40E+18,WooPaPa17,WooPapa,40,448,2371,12,40735,USA2024 USAElection2024 Election2024 until 2025-3-31 since 2024-07-01,VOTE! VOTE! VOTE! VOTE! VOTE! VOTE! VOTE! VOTE! VOTE! Will you answer the call? Your Country needs you! Trump,Positive,"TrumpVance2024, Trump2024, USAElections, USElection2024, VotedforTrump"
1.82E+18,2024-08-06 13:10:29+00:00,4429003533,PopCrave,Pop Crave,546,1830,53760,699,1730419,USA2024 USAElection2024 Election2024 until 2025-3-31 since 2024-07-01,The 2024 US presidential election Democrats Kamala Harris Tim Walz Republicans Donald Trump JD Vance,Neutral,
1.81E+18,2024-07-15 19:16:41+00:00,1.14E+18,PopBase,Pop Base,548,555,19431,1234,3442277,USA2024 USAElection2024 Election2024 until 2025-3-31 since 2024-07-01,2024 US Presidential Election as of now Biden and Harris vs Trump and Vance,Neutral,
1.86E+18,2024-11-19 20:55:02+00:00,1.14E+18,USA_Polling,Polling USA,86,425,6231,45,297594,USA2024 USAElection2024 Election2024 until 2025-3-31 since 2024-07-01,Economic unease Republicans win the Presidency Implement tariffs Economy tanks more Democrats sweep next election Pics unreleated,Negative,
1.85E+18,2024-11-06 06:28:09+00:00,1.60E+18,MonBreeden,Monica,22,209,621,4,14090,USA2024 USAElection2024 Election2024 until 2025-3-31 since 2024-07-01,Praise God WINNER AMERICA,Positive,
1.85E+18,2024-11-06 08:21:31+00:00,9.75E+17,OyeAshwani,Ashwani Kr,4,7,62,0,10518,USA2024 USAElection2024 Election2024 until 2025-3-31 since 2024-07-01,If you are a true supporter of Donald Trump then you cannot go without liking and retweeting this tweet. Republican Party,Positive,"USAElection2024, USA2024, Election2024, KamalaHarris, ElectionDay, DonaldTrump"
1.81E+18,2024-07-03 16:43:21+00:00,16513335,votevets,VoteVets,38,428,595,24,20088,Vote2024 VoteForAmerica VoteRed VoteBlue VoteRepublican VoteDemocrat until 2025-3-31 since 2024-07-01,"Our freedoms, democracy, and very lives are at stake. We must spread the word and VOTE BLUE to save our future. If Trump wins, we could very likely lose everything.",Negative,VeteransDefendDemocracy
1.85E+18,2024-11-05 11:29:16+00:00,1.55E+18,ConservativeGG3,Conservative Goth Girl,22,58,506,0,5508,Vote2024 VoteForAmerica VoteRed VoteBlue VoteRepublican VoteDemocrat until 2025-3-31 since 2024-07-01,"I voted to Make America GODLY again, Make America AFFORDABLE again, Make America RESPECT THE LAW again, Make America SECURE again, Make America HEALTHY again, Make America FAMILYORIENTED again, Make America STRONG again, to MAKE AMERICA GREAT AGAIN!",Positive,"Vote, Trump2024"
1.84E+18,2024-09-19 22:01:40+00:00,1.39E+18,AnnieForTruth,Annie,16,86,237,3,4225,Vote2024 VoteForAmerica VoteRed VoteBlue VoteRepublican VoteDemocrat until 2025-3-31 since 2024-07-01,Lets do this folks!,Positive,"VoteBlue, VoteHarrisWalz, VoteBlueForDemocracy, VoteBlueToSaveAmerica, VoteBlueToProtectWomen"
1.85E+18,2024-10-31 15:35:48+00:00,9.16E+17,Beard_Vet,Beard Vet,146,420,1743,14,33242,Vote2024 VoteForAmerica VoteRed VoteBlue VoteRepublican VoteDemocrat until 2025-3-31 since 2024-07-01,.. droppin in to say... Whos Voting 4 Trump 2024?,Neutral,
1.85E+18,2024-11-06 08:07:03+00:00,7.40E+17,_iamblakeley,B L A K E L E Y LLC,262,1693,8068,102,283714,election 2024 trumpwon until 2025-3-31 since 2024-07-01,"Trump won. Get ready for all the liberals to do zero self reflection, blame everyone from leftists to Black men, and then move further right.",Negative,Election2024
1.85E+18,2024-11-06 05:40:30+00:00,109065990,RealAlexJones,Alex Jones,2205,21015,183036,405,13642557,election 2024 trumpwon until 2025-3-31 since 2024-07-01,BOMBSHELL! TRUMP HAS WON THE 2024 ELECTION! TRUMP MUST DECLARE VICTORY NOW! Watch And Share The Live Feed Of The Election Coverage Here,Positive,
1.85E+18,2024-11-06 06:58:29+00:00,7.62E+17,MRobertsQLD,Malcolm Roberts,136,657,4266,20,50469,election 2024 trumpwon until 2025-3-31 since 2024-07-01,Donald Trump has been declared the winner of the 2024 US Election.,Neutral,
1.85E+18,2024-11-06 09:38:05+00:00,2530363285,tv3_ghana,TV3GH,13,28,462,2,16427,election 2024 trumpwon until 2025-3-31 since 2024-07-01,"Donald Trump has declared victory in the 2024 US Presidential election, telling jubilant supporters at his campaign HQ in Florida We made history BBCNews",Neutral,3Xtra
1.85E+18,2024-11-06 10:58:24+00:00,1.37E+18,TaraBull808,TaraBull,466,999,8434,118,635794,election 2024 trumpwon until 2025-3-31 since 2024-07-01,"BREAKING MSNBC finally confirms Donald Trump winner of the 2024 Presidential Election, defeating Kamala Harris",Neutral,
1.85E+18,2024-11-06 08:05:50+00:00,4970411,AJEnglish,Al Jazeera English,63,220,1019,17,129678,election 2024 trumpwon until 2025-3-31 since 2024-07-01,"Donald Trump has declared victory in the 2024 US presidential election, after several battleground states were called in his favour. He spoke to supporters in Florida.",Neutral,
1.85E+18,2024-11-06 06:45:55+00:00,4041824789,RSBNetwork,RSBN,33,335,1829,14,51298,election 2024 trumpwon until 2025-3-31 since 2024-07-01,VICTORY. President Trump is officially projected to win the 2024 election!,Positive,
1.85E+18,2024-11-06 10:56:39+00:00,1.18E+18,ReviewsPossum,Possum Reviews,14,43,478,1,15741,election 2024 trumpwon until 2025-3-31 since 2024-07-01,ABC News calls Wisconsin for Donald Trump and declares him winner of the 2024 presidential election.,Neutral,
1.85E+18,2024-11-06 08:28:16+00:00,19964034,vicderbyshire,Victoria Derbyshire,105,30,221,8,32777,election 2024 trumpwon until 2025-3-31 since 2024-07-01,Look what happened is this crazy?! Donald Trump declares victory,Negative,USAElections2024
1.85E+18,2024-11-06 10:46:38+00:00,7587032,SkyNews,Sky News,72,127,441,10,105933,election 2024 trumpwon until 2025-3-31 since 2024-07-01,"BREAKING Donald Trump has won the 2024 US election after surpassing 270 electoral college votes. Sky's Chesh breaks down the votes from Wisconsin that secured him the presidency. Live updates Sky 501, Virgin 602, Freeview 233 and YouTube",Neutral,
1.85E+18,2024-11-06 08:08:03+00:00,343600675,indianaftali,India Naftali,14,67,768,2,8682,election 2024 trumpwon until 2025-3-31 since 2024-07-01,BREAKING TRUMP WINS THE 2024 PRESIDENTIAL ELECTION,Neutral,
1.85E+18,2024-11-06 07:23:50+00:00,295083939,me_ganesh14,Ganesh,1,47,223,2,31285,election 2024 trumpwon until 2025-3-31 since 2024-07-01,Donald Trump right now after Fox News called in his favour. He will be the 47th POTUS. has won United States of America.,Neutral,"USAElection2024, DonaldTrump, KamalaHarris, USAElections, Trump2024, Trump2024Vance"
1.85E+18,2024-11-06 08:23:20+00:00,622888708,SlumDogReviewer,,14,111,200,1,3760,election 2024 trumpwon until 2025-3-31 since 2024-07-01,Trump wins Elon Musk right now,Neutral,USAElection2024
1.85E+18,2024-11-07 13:53:50+00:00,1.20E+18,GRAVEMIST4KE,ike  1 joe cooper enjoyer,4,63,270,2,3542,election 2024 trumpwon until 2025-3-31 since 2024-07-01,"Donald J. Trump wins the 2024 USA Presidential Election, becoming the 47th President of the United States!",Positive,
1.88E+18,2025-01-07 03:12:26+00:00,1.44E+18,MumbaichaDon,BhikuMhatre,8,235,1007,2,41082,election 2024 trumpwon until 2025-3-31 since 2024-07-01,"FINALLY It's official Kamala Harassment reads off her loss as US Congress certifies 2024 election, marking Donald Trump's official victory. Ps Don't miss Inside speaker Mike Johnsons smirky smile as Trump is certified. Noone loves you, Kamala, except our Shaitan Buddhi",Neutral,
1.85E+18,2024-11-06 06:30:29+00:00,1.12E+18,MyLordBebo,Lord Bebo,5,75,593,4,24136,election 2024 trumpwon until 2025-3-31 since 2024-07-01,"TRUMP IS THE NEXT PRESIDENT OF THE UNITED STATES. The results in Michigan, Arizona, and Nevada no longer matter TRUMP WON! Congratulations Mr President realDonaldTrump",Positive,
1.85E+18,2024-11-06 10:33:03+00:00,759251,CNN,CNN,2191,2687,11584,801,1863934,election 2024 trumpwon until 2025-3-31 since 2024-07-01,"Donald Trump will win the 2024 presidential election, CNN projects, marking an extraordinary political comeback and a moment of historic consequence.",Positive,
